Text,Label,hard,,
Seeing so much Elliot Anderson prop and it's all so bittersweet. One of the best midfielders in the world plays for my club.,reaction,,72,reaction
"pretty happy with today's match honestly. Messi's getting all the attention of course but I think our defence isn’t getting enough plaudits, they were massive. Austria had plenty of the ball at times and they could get nowhere near. Same thing as Algeria. Apparently the free kick they had in the second half was the only shot on target we’ve conceded this World Cup so far.",analysis,,56,hot take
"At the end of 2012, Messi earned the dubious record (dubious because it's not a record and nobody cared before or since) of scoring the most goals in a calendar year with 91.",hot take,,74,analysis
"In the 1980s and 1990s, Portuguese public television had a very well-known commentator called Gabriel Alves, famous for his unusual and often unintentionally funny phrases while commentating football matches. His voice became strongly linked in my memory to the World Cups of my childhood, as well as European football throughout the 90s. Nowadays he has mostly disappeared from television, but he hasn’t been forgotten, and every now and then people share lists of his most memorable lines. Here are some of them:

“Low shot at mid-height over the bar!”",reaction,,,
"World Cup Mbappé is absolutely crazy.

3 WCs, won the first, hat-trick in the final to almost win the second one, and now he equals Ronaldo and is 3 goals away from Messi to be top scorer too.",reaction,,,
"I’ve throughly enjoyed this WC so far but I’m genuinely bored of the group stages now, need to get to KOs we’ve got another whole week of GS games and so many 3rd games will be dead rubbers",reaction,,,
"Hope every forward in the tournament listens to that Joe Hart analysis he just did on the World Cup ball. Very useful insight.

Also think Olivier Giroud has very good potential as a pundit with a little more confidence and more reps under his belt",hot take,,,
I really hate that ”Esta Locuraaaaaa” song,reaction,,,
"CR7 was better than Messi for brief periods - pre 2010, 2013-2016/17. But since then Messi has pulled clear.",hot take,,,
"Nah these interruptions is what I feared. You just know we’ll be getting a nasty one in a semi final or something

Surely the yanks can launch a jet into the air with some chemicals to mitigate it. Soviets were doing so in the 1980 Olympics",reaction,,,
"It may be a bit borderline, but moving to a back 3 could benefit Argentina. Medina is a beast defensively, i could think a back 3 of him, Cuti and Licha makes the most sense.

Then wingbacks I would try Giuliano and Nico Gonzalez. Molina and Montiel are not up to our standards at the moment.",reaction,,,
"England has a top team, but they suffer from tin man syndrome. No heart in them when the going gets tough, they are historically always chickening out when the pressure reaches them.",hot take,,,
"Not that Alvarez isn’t a great player but I’m still not convinced the hype that Barca fans have for him wouldn’t be about, maybe 10% less, if he wasn’t Argentinan",hot take,,,
"The Messi/Ronaldo discussion is genuinely one of the worst thing in football. I don't not have the same rapport with Messi as other Barcelona fans because I started truly supporting club the season after he left. Apparently, it was way, way worse in the 2010s ? Jesus Christ, it don't even want to imagine the level of toxicity back then.",hot take,,,
"It's more settled now. In the 2010's it was genuinely 33% Messi, 33% Ronaldo and 33% can't decide. Plus you had them actually play each other 2-5 times pr season, so it would just come up a lot more.",reaction,,,
Messi just isnt influencing 2nd phase the way he used to. At 39 hes finally fully reduced to being a G/A merchant,hot take,,,
Just about everything Poch has done has turned out magnificently but he *did* select a squad with only four midfielders and now one of the reserves has an injury so we might have to play a starter (and probably a really important one - McKennie or Tilman) in a dead rubber game that doesn’t matter at all,analysis,,,
Argentina's defence has been somewhat impressive but I really want to see it tested by a top tier team. Really solid vs Austria,reaction,,,
"Finally watched the Messi 2nd goal everyone here’s been banging on about. What are you lot smoking, that goal’s so bad it’s comical",reaction,,,
Alexi has nothing of value to offer in terms of commentary whatsoever. Wtf was any of that bullshit you just said,reaction,,,
"Fox sports: ""Portugal's Ronaldo Problem""

As a Ronaldo fan I can definitely say for sure the guy is delusional to think he can still play at a top level at his age with his playing style, but the press definitely does not help out with taming the flames. He has always been a sports journalist's punching bag, and while it could be said its deserved, I was very surprised to see this headline immediately after his arch rival's historic match today.",reaction,,,
"Golden boot for world cup this year will be hot, Mbappe, Haaland, a 39 yo. Messi (he has always been very unfair) and my sleeper personal pick is Undav (although that depends on the amount of minutes he gets)",hot take,,,
Its still so weird watching Messi go from a light jog to the most dangerous man on the pitch in seconds.,reaction,,,
"Juste Fontaine scored 13 goals in 6 games in the 1958 World Cup for France. Nobody has come close to scoring that many goals since then. It's been out of reach for decades.

But now with the expanded size of the cup, the inclusion of lower quality teams and an additional knock-out round, it's doable.",analysis,,,
"It's really interesting how despite Messi being the greatest of all time, having won last year, playing for a frankly fairly unlikeable team, still has neutrals on his side.",reaction,,,
Pretty crazy France has the reigning ballon dor winner and he’s so clearly the third best attacker on the team,hot take,,,
"In the very unrealistic scenario that Uruguay hold Spain to a goal less draw and Cape Verde beat Saudi and score enough to have more goals than Spain overall, we will get Spain vs Argentina in the next round.",analysis,,,
